meta data,,,,transpiration by species,,,,,water budget,,,,,,water quality data,,,,,,,,,,,,biological tide calculation,,,,,
,date,month,year,sam_et_m3H2O,typha_et_m3H2O,sacstab_et_m3H2O,scal_et_m3H2O,allspp_et_m3H2O,monthly_frw1_outflow_m3,monthly_frw1_inflow_m3,monthly_frw1_deficit_m3,monthly_precip_mm,monthly_precip_m3,monthly_evap_m3,marsh_shore_no2,marsh_shore_no2_se,marsh_shore_no3,marsh_shore_no3_se,marsh_shore_nh4,marsh_shore_nh4_se,marsh_water_no2,marsh_water_no2_se,marsh_water_no3,marsh_water_no3_se,marsh_water_nh4,marsh_water_nh4_se,,,,,,
11,5/1/12,5,2012,21479.52632,62412.14749,44433.86044,13115.01169,141440.5459,2738621.785,0,-2738621.785,0,0,0,NA,NA,NA,NA,0.038628167,0.024322148,NA,NA,2.703333333,0.190991565,0.369333333,0.165837605,,,,,,
12,6/1/12,6,2012,36570.89358,93988.56071,71520.76829,14549.48806,216629.7106,3565383.376,0,-3565383.376,0,0,0,,,,,,,,,,,,,,,,,,
13,7/1/12,7,2012,40277.27775,95140.11802,67541.69308,11352.47112,214311.56,4301222.488,0,-4301222.488,27.8,5838,0,0.013543333,0.003744802,0.019033333,0.009813653,0.064533333,0.031919291,0.133333333,0.008950481,2.793333333,0.323384876,0.390666667,0.079350138,,,,,,
14,8/1/12,8,2012,40982.50195,85981.51348,49718.86418,6717.35759,183400.2372,3951165.202,0,-3951165.202,45.9,9639,0,,,,,,,,,,,,,,,,,,
15,9/1/12,9,2012,16490.78024,32999.71701,16137.65757,1873.047625,67501.20244,3430238.419,0,-3430238.419,7.7,1617,0,0.021513333,0.013255169,0.05027,0.034636372,0.094066667,0.021310509,0.172666667,0.014621141,2.63,0.234378611,0.649666667,0.068167278,,,,,,
16,10/1/12,10,2012,14276.08134,30449.66189,16007.23009,2538.189051,63271.16238,4840171.1,5365799.16,525628.0603,0,0,0,,,,,,,,,,,,,,,,,,
17,11/1/12,11,2012,3902.9984,9504.396036,5096.95265,1426.827079,19931.17417,3894149.2,4235670.564,341521.3642,0.5,105,0,0.031526333,0.029551104,0.1787,0.166307917,0.108933333,0.048145936,0.222,0.030413813,3.3,0.212210587,0.817666667,0.227262208,,,,,,
18,12/1/12,12,2012,332.9481544,990.4408988,528.8675972,313.5947389,2165.851389,4290962.2,4627657.884,336695.6839,25.2,5292,0,,,,,,,,,,,,,,,,,,
19,1/1/13,1,2013,131.8009718,763.7721783,489.4231117,790.0608182,2139.260409,4270875.2,NA,NA,31,6510,0,0.084533333,0.044466367,NA,NA,NA,NA,0.337666667,0.031671929,3.076666667,0.032829526,1.44,0.049328829,,,,,,
20,2/1/13,2,2013,317.5428988,1494.460932,1396.49729,1230.200541,4438.701662,4143493.3,4259582.806,116089.5061,5.5,1155,0,,,,,,,,,,,,,,,,,,
21,3/1/13,3,2013,1054.85226,7129.50544,6422.479363,3116.527514,17723.36458,4756715.3,4852715.365,96000.06516,8.9,1869,0,0.007183333,0.002669609,0.005966667,0.005966667,NA,NA,0.281333333,0.023024142,4.036666667,0.014529663,0.849333333,0.204809939,,,,,,
22,4/1/13,4,2013,3452.104049,25586.91706,21594.63043,9691.222518,60324.87405,5669764.2,5903498.037,233733.8371,0.3,63,0,,,,,,,,,,,,,,,,,,
23,5/1/13,5,2013,5842.061452,53025.12157,37265.48877,14215.34176,110348.0136,3927349.6,4093012.549,165662.9494,0,0,0,0.06955,0.062225174,0.012706667,0.003195212,0.0612,0.023795448,0.836666667,0.691744735,1.049,0.063174362,1.115,0.221189964,,,,,,
24,6/1/13,6,2013,4380.421371,58231.19051,28522.67941,7559.707078,98693.99837,3635557.5,3966089.899,330532.3995,0,0,0,,,,,,,,,,,,,,,,,,
25,7/1/13,7,2013,3242.014805,55422.44484,22096.57796,5691.688949,86452.72656,4148155,4455812.711,307657.7113,2,420,83919.11496,0.010623333,0.001434763,-0.047766667,0.006595285,NA,NA,0.205,0.018823744,8.153333333,0.083732378,NA,NA,,,,,,
26,8/1/13,8,2013,2861.711823,70288.26199,26530.53195,9824.485216,109504.991,4167863,4568313.264,400450.2638,38.5,8085,81756.02932,,,,,,,,,,,,,,,,,,
27,9/1/13,9,2013,706.6331143,40566.0814,13714.44279,7822.036644,62809.19395,4252607.4,4650092.77,397485.3702,30.1,6321,69025.75853,0.014033333,0.005556478,-0.006383333,0.004759665,NA,NA,0.314,0.053687367,3.913333333,0.107134391,0.838333333,0.192537731,,,,,,
28,10/1/13,10,2013,288.8618951,22043.59697,8827.953265,3291.480088,34451.89222,6286245.6,6866102.566,579856.966,1.6,336,59603.14486,,,,,,,,,,,,,,,,,,
29,11/1/13,11,2013,406.4352808,715.2115981,410.9195361,177.3645144,1709.930929,5043807.8,5333544.391,289736.5912,115.1,24171,21054.59723,0.018606667,0.012205319,0.014756667,0.011359895,1.017,0.491348145,0.279333333,0.020626305,4.063333333,0.203660938,1.14,0.092915732,,,,,,
30,12/1/13,12,2013,319.7377629,868.4721155,447.041188,368.2832263,2003.534293,4042641.4,4367120.444,324479.0444,19.3,4053,21373.95886,,,,,,,,,,,,,,,,,,
31,1/1/14,1,2014,16.64750519,2936.182368,982.1481148,1149.617748,5084.595736,3673381.7,3933403.647,260021.9471,0,0,34883.00558,0.026433333,0.005241289,0.0254,0.005458022,0.067566667,0.022635984,3.4,0.375277675,3.45,0.315647483,1.29,0.231156513,,,,,,
32,2/1/14,2,2014,99.3470729,9393.81638,1528.3802,2063.836574,13085.38023,3240639.5,3450903.411,210263.9115,0,0,74027.64947,,,,,,,,,,,,,,,,,,
33,3/1/14,3,2014,159.946542,17659.3168,2941.726143,4685.525111,25446.5146,3384697.4,3576317.755,191620.3545,51.6,10836,106983.0308,0.008643333,0.00052505,0.007976667,0.009245017,0.069066667,0.01720478,0.367333333,0.009386752,2.186666667,0.182695861,1.78,0.386264158,,,,,,
34,4/1/14,4,2014,70.38953266,27997.54255,8948.593502,12190.51954,49207.04512,4197008.1,4503317.398,306309.2979,1.8,378,130574.4976,,,,,,,,,,,,,,,,,,
35,5/1/14,5,2014,0,54738.86788,23679.58435,14512.34052,92930.79275,2590313.4,2589285.469,-1027.930961,0,0,134644.552,0.005643333,0.005247362,0.014093333,0.004451372,0.136866667,0.046041479,0.066233333,0.014141232,1.493333333,0.213645605,0.260666667,0.094322732,,,,,,
36,6/1/14,6,2014,0,92896.83344,44813.1751,5879.388631,143589.3972,2751085.2,2955550.298,204465.0977,0,0,125067.6514,,,,,,,,,,,,,,,,,,
37,7/1/14,7,2014,0,104658.0727,53167.13735,0,157825.21,3678119.2,3791196.929,113077.7294,12.5,2625,121436.8184,NA,NA,0.00688,0.001687434,0.078533333,0.038100846,NA,NA,2.95,0.127410099,0.848333333,0.183991244,,,,,,
38,8/1/14,8,2014,0,33688.36521,18530.88755,1505.822172,53725.07493,4145843.1,4240687.627,94844.52748,138.9,29169,49302.08184,,,,,,,,,,,,,,,,,,
39,9/1/14,9,2014,0,51980.58284,13919.1956,11181.67219,77081.45063,4157137.3,4327189.732,170052.4316,250,52500,86760.30989,NA,NA,0.002180333,0.001331633,0.484333333,0.044363398,NA,NA,2.33,0.945727233,1.213333333,0.041766547,,,,,,
40,10/1/14,10,2014,0,45959.44379,16515.60611,3538.413332,66013.46323,5807833.9,6044805.662,236971.762,2.9,609,76135.18366,,,,,,,,,,,,,,,,,,
41,11/1/14,11,2014,0,22026.36058,5660.722181,3397.113043,31084.19581,4068375.5,4114059.443,45683.94274,0,0,73153.40499,0.035433333,0.022390052,0.071633333,0.0561834,0.292333333,0.045578991,0.294333333,0.009261629,3.543333333,0.128105859,1.198333333,0.204579515,,,,,,
42,12/1/14,12,2014,0,7832.64766,1619.525746,3986.44285,13357.04413,2375609.9,2712128.41,336518.5098,42.5,8925,49167.435,,,,,,,,,,,,,,,,,,
43,1/1/15,1,2015,0,5676.444651,1256.051891,4670.973755,11531.16804,3352671.9,3347605.742,-5066.158413,46.7,9807,58956.7829,0.025676667,0.010126988,0.11656,0.059420818,0.185816333,0.142224198,0.239,0.021794495,3.106666667,0.242853408,1.468333333,0.36656438,,,,,,
44,2/1/15,2,2015,0,10523.73329,2859.982293,4465.674504,17849.39008,2425372.6,2449995.883,24623.28307,11.2,2352,68390.51851,,,,,,,,,,,,,,,,,,
45,3/1/15,3,2015,0,20654.25393,6243.198943,4264.192261,31161.64513,1776752,1822589.922,45837.92226,52.3,10983,95026.99532,0.014166667,0.001816896,0.010173333,0.006033576,2.363333333,0.609106814,0.274333333,0.044685319,2.573333333,0.096666667,1.344666667,0.565319182,,,,,,
46,4/1/15,4,2015,0,27677.05856,8707.153902,4176.507019,40560.71948,2151620.9,2318975.766,167354.8661,8,1680,117333.7956,,,,,,,,,,,,,,,,,,
47,5/1/15,5,2015,0,45346.48635,13694.95142,6520.753463,65562.19123,1973983.6,2451758.897,477775.297,49.5,10395,116663.6776,0.141,0.015947832,0.910666667,0.412634355,0.482333333,0.255356831,0.080193333,0.074904722,0.58793,0.586036021,0.263566667,0.186452857,,,,,,
48,6/1/15,6,2015,0,114183.3967,25106.15917,10048.63044,149338.1863,2029355.5,2557153.644,527798.1437,18.6,3906,120604.8565,,,,,,,,,,,,,,,,,,
49,7/1/15,7,2015,0,102947.6844,21736.12493,11979.14362,136662.953,2118306.8,2617833.705,499526.9046,77.7,16317,119959.6584,0.005293333,0.003247673,0.0036,0.0036,0.292,0.062292322,0.235333333,0.025300417,2.866666667,0.36861603,0.687,0.11574253,,,,,,
50,8/1/15,8,2015,0,65159.66907,21947.59074,13065.50898,100172.7688,3617138.1,3789226.839,172088.7389,19.5,4095,109098.9986,,,,,,,,,,,,,,,,,,
51,9/1/15,9,2015,0,54223.26551,16439.52482,13593.76654,84256.55687,3978817.8,4011689.153,32871.35327,32.8,6888,84748.11363,0.080426667,0.071787804,0.607166667,0.586423915,0.672666667,0.307852959,0.165333333,0.010038814,2.223333333,0.584731657,1.019,0.192486363,,,,,,
52,10/1/15,10,2015,0,48870.09064,11707.70717,16929.42831,77507.22612,4033659.1,4261639.486,227980.3857,143.5,30135,74839.20174,,,,,,,,,,,,,,,,,,
53,11/1/15,11,2015,0,21463.47134,3860.02692,9576.758558,34900.25681,5283601.1,5427547.594,143946.494,19,3990,66613.92956,0.161333333,0.055034333,1.172,0.658878846,0.370333333,0.129786149,0.215,0.006110101,3.036666667,0.399763819,0.714,0.049426713,,,,,,
54,12/1/15,12,2015,0,6447.103072,853.244666,3549.298363,10732.52488,3947322.9,3969097.533,21774.63279,9.6,2016,59121.75986,,,,,,,,,,,,,,,,,,
55,1/1/16,1,2016,0,4817.452114,894.6642637,1975.253468,7687.369846,4805757.9,4486486.134,-319271.7657,69.6,14616,59013.97845,0.277,0.017897858,1.663,0.720084949,0.300933333,0.189914729,0.268,0.036115555,4.296666667,0.600481288,1.266,0.159361225,,,,,,
56,2/1/16,2,2016,0,10165.55589,2664.440728,2657.514718,15487.51133,4487890.6,4361483.881,-126406.7192,17.3,3633,78508.11569,,,,,,,,,,,,,,,,,,
57,3/1/16,3,2016,0,22535.38089,7007.990258,6330.715289,35874.08643,3777909.9,3788178.367,10268.46737,0,0,105402.0259,0.009003333,0.002715206,0.0422,0.016601606,0.325333333,0.069383796,0.254,0.018147543,2.37,0.167032931,0.989333333,0.254322848,,,,,,
58,4/1/16,4,2016,0,41579.76697,14329.56745,13523.16765,69432.50207,5150913.2,5310785.395,159872.1951,19.3,4053,110812.8374,,,,,,,,,,,,,,,,,,
59,5/1/16,5,2016,0,79585.97146,19131.31225,21486.38525,120203.669,3681833.4,3794626.569,112793.1692,33.3,6993,115556.7343,0.057443333,0.047341517,0.399566667,0.360511536,0.1965,0.147857195,0.255666667,0.010989894,3.373333333,0.243333333,0.735666667,0.114781435,,,,,,
60,6/1/16,6,2016,0,144475.2717,16750.04588,28920.84701,190146.1646,3343159,3469211.942,126052.9425,0,0,113712.3622,,,,,,,,,,,,,,,,,,
61,7/1/16,7,2016,0,160906.2344,14707.51461,27503.57705,203117.326,3983214.2,4374204.771,390990.5707,36.3,7623,123771.0166,0.01798,0.00976977,0.059196667,0.033009847,0.300333333,0.047949047,0.252,0.009643651,2.873333333,0.119210365,0.543,0.137077837,,,,,,
62,8/1/16,8,2016,0,122239.0628,17477.82193,18252.99769,157969.8825,4750420.11,5016983.203,266563.093,93.8,19698,104723.6091,,,,,,,,,,,,,,,,,,
63,9/1/16,9,2016,0,85579.87414,16489.27384,12401.51101,114470.659,4591186.292,4823531.949,232345.6569,47.2,9912,91432.07647,0.0712,0.032035813,0.155666667,0.066242819,1.230333333,0.438375917,0.291,0.053891867,2.266666667,0.22578259,1.034,0.1478152,,,,,,
64,10/1/16,10,2016,0,67194.16599,15367.79034,11730.12589,94292.08222,4849688.927,5126711.555,277022.6283,1.3,273,78028.69877,,,,,,,,,,,,,,,,,,
65,11/1/16,11,2016,0,34865.18724,7557.35713,6822.355066,49244.89944,4556950.085,4837603.74,280653.6553,51.6,10836,67524.05792,0.105333333,0.036662121,0.546333333,0.213644825,0.613666667,0.128613547,0.231333333,0.006489307,3.103333333,0.194707758,1.243333333,0.062271806,,,,,,
66,12/1/16,12,2016,0,9657.751862,1006.715751,1592.838531,12254.5229,4754827.88,4703407.466,-51420.41416,52.5,11025,52996.07516,,,,,,,,,,,,,,,,,,
67,1/1/17,1,2017,0,4243.697394,60.129968,786.6143237,5090.441685,5481860.169,6092350.675,610490.5063,47.92,10063.2,54873.43692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
68,2/1/17,2,2017,0,6211.209505,377.9727543,2542.688062,9131.870321,3203140.482,3106551.971,-96588.51078,48.28,10138.8,64069.29243,,,,,,,,,,,,,,,,,,
69,3/1/17,3,2017,0,13242.12642,1499.748962,5098.245766,19840.12115,4830696.858,4603777.384,-226919.4739,3.33,699.3,102958.5406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
70,4/1/17,4,2017,0,21323.40829,2839.450816,5242.137631,29404.99673,5313949.904,6026890.198,712940.2939,0,0,115253.1117,,,,,,,,,,,,,,,,,,
71,5/1/17,5,2017,0,54069.33401,6831.319076,13593.74223,74494.39532,3822113.428,3938462.442,116349.0136,4.07,854.7,117681.2631,0.020453333,0.011629711,0.288633333,0.23076476,0.148833333,0.060144502,0.118533333,0.015308531,2.243333333,0.283450956,0.389666667,0.155623834,,,,,,
72,6/1/17,6,2017,0,121028.3924,14607.2117,33110.55916,168746.1633,3200823.276,3296008.189,95184.91258,0,0,120180.2918,,,,,,,,,,,,,,,,,,
73,7/1/17,7,2017,0,145814.8002,18966.01196,37901.28419,202682.0964,3513446.732,3551818.473,38371.7405,144.03,30246.3,103467.1943,0.06209,0.029457163,0.5146,0.263597597,0.306333333,0.105921879,0.126666667,0.002333333,3.786666667,0.103976493,0.548666667,0.087392474,,,,,,
74,8/1/17,8,2017,0,120599.6785,19422.2816,24790.93741,164812.8975,4607336.998,4124868.054,-482468.9435,37.64,7904.4,93020.0642,,,,,,,,,,,,,,,,,,
75,9/1/17,9,2017,0,76233.12749,14215.21919,12132.18867,102580.5354,4349284.615,4025284.023,-324000.5923,0,0,87208.32291,0.0442,0.009063296,1.208333333,0.453967082,0.066866667,0.034512671,0.089533333,0.004280706,3.713333333,0.133458275,0.332333333,0.057521976,,,,,,
76,10/1/17,10,2017,0,35870.68865,7861.505521,3553.880588,47286.07476,6365508.523,8170163.814,1804655.291,0,0,73675.96773,,,,,,,,,,,,,,,,,,
77,11/1/17,11,2017,0,13639.03417,3242.049698,0,16881.08387,5559591.932,5247652.601,-311939.3308,0,0,51081.29634,0.043966667,0.017207104,1.566666667,0.648082642,0.105666667,0.046591606,0.134333333,0.004333333,3.776666667,0.661824079,0.898666667,0.028620117,,,,,,
78,12/1/17,12,2017,0,4594.389774,640.846411,444.1643008,5671.868181,4257117.121,4189411.725,-67705.39636,0.25,52.5,53229.43555,,,,,,,,,,,,,,,,,,
79,1/1/18,1,2018,0,3275.856574,150.928839,801.66078,4228.446193,4816156.902,4873308.889,57151.98712,15.24,3200.4,61649.10669,0.119833333,0.039136868,1.373,0.496822235,0.266666667,0.026995884,0.204333333,0.015387585,2.326666667,0.031797973,1.533333333,0.076230644,,,,,,
80,2/1/18,2,2018,0,3250.997685,129.2143331,743.9366636,4124.148682,3981606.482,4135690.15,154083.6683,12.69,2664.9,65113.88045,NA,NA,NA,NA,0.473333333,0.305645946,NA,NA,NA,NA,0.599033333,0.259152596,,,,,,
81,3/1/18,3,2018,0,11194.0532,168.0181175,2649.126369,14011.19769,3822758.107,3973844.631,151086.5243,0.25,52.5,94159.51293,0.019021,0.012495158,NA,NA,NA,NA,0.128333333,0.009061518,NA,NA,NA,NA,,,,,,
82,4/1/18,4,2018,0,29320.25279,92.32351487,7042.915075,36455.49138,4369924.197,4803556.107,433631.91,0,0,106614.5687,0.033876667,0.016421801,NA,NA,NA,NA,0.171333333,0.009386752,NA,NA,NA,NA,,,,,,
83,5/1/18,5,2018,0,49359.23227,8799.55999,9428.027119,67586.81937,2620547.367,2887166.653,266619.286,0,0,113346.8064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
84,6/1/18,6,2018,0,65507.59158,29167.01664,7817.501411,102492.1096,2832730.517,3004400.641,171670.1242,2.03,426.3,108999.8434,,,,,,,,,,,,,,,,,,
85,7/1/18,7,2018,0,82802.65523,54290.53322,5441.091831,142534.2803,3273679.962,3448716.269,175036.3075,11.94,2507.4,102789.987,,,,,,,,,,,,,,,,,,
86,8/1/18,8,2018,NA,NA,NA,NA,NA,3234108.193,3389030.047,154921.8539,18.53,3891.3,96733.9027,,,,,,,,,,,,,,,,,,
87,9/1/18,9,2018,NA,NA,NA,NA,NA,3051391.535,3224174.967,172783.4324,0.76,159.6,81970.8519,,,,,,,,,,,,,,,,,,
88,10/1/18,10,2018,NA,NA,NA,NA,NA,135780.919,128788.6208,-6992.298231,2.03,426.3,1619.918556,,,,,,,,,,,,,,,,,,
